
Name                                                           Version          Vendor                      
----                                                           -------          ------                      
                                                                                                            
AMD GPIO2 Driver                                               2.2.0.133        Advanced Micro Devices, Inc.
AMD PCI Driver                                                 1.0.0.90         Advanced Micro Devices, Inc.
AMD Ryzen Balanced Driver                                      8.0.0.13         Advanced Micro Devices, Inc.
AMD Ryzen Master SDK                                           2.14.2.3330      Advanced Micro Devices, Inc.
AMD SBxxx SMBus Driver                                         5.12.0.44        Advanced Micro Devices, Inc.
AMD_Chipset_Drivers                                            6.10.22.027      Advanced Micro Devices, Inc.
Application Verifier x64 External Package                      10.1.19041.5609  Microsoft                   
Corsair Device Control Service                                 1.1.13           Corsair                     
CORSAIR iCUE Software                                          3.26.95          Corsair                     
Documentation Manager                                          22.180.0.4       Intel Corporation           
ENE IO Driver                                                  3.3.0            ENE TECHNOLOGY INC.         
ENE Video Capture Box HAL                                      1.0.5.15         Ene Tech.                   
ENE_EHD_M2_HAL                                                 1.0.14.0         ENE TECHNOLOGY INC.         
ENE_External_Device_HAL                                        1.0.14.0         ENE Tech                    
ENE_MousePad_HAL                                               1.0.2.0          ENE TECHNOLOGY INC.         
ENE_X_AIC_HAL                                                  1.0.6.3          ENE TECHNOLOGY INC.         
Epic Games Launcher                                            1.1.279.0        Epic Games, Inc.            
Epic Online Services                                           2.0.28.0         Epic Games, Inc.            
iCloud Outlook                                                 15.3.0.138       Apple Inc.                  
Intel(R) Wireless Bluetooth(R)                                 22.180.0.2       Intel Corporation           
Kits Configuration Installer                                   10.1.19041.5609  Microsoft                   
Microsoft .NET Core Host - 3.1.32 (x64)                        24.192.31915     Microsoft Corporation       
Microsoft .NET Core Host FX Resolver - 3.1.32 (x64)            24.192.31915     Microsoft Corporation       
Microsoft .NET Core Runtime - 3.1.32 (x64)                     24.192.31915     Microsoft Corporation       
Microsoft Bing Service                                         2.0.0.12         Microsoft Corporation       
Microsoft SQL Server Compact 3.5 SP1 English                   3.5.5692.0       Microsoft Corporation       
Microsoft Teams Meeting Add-in for Microsoft Office            1.25.28902       Microsoft                   
Microsoft Update Health Tools                                  5.72.0.0         Microsoft Corporation       
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729      9.0.30729        Microsoft Corporation       
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161 9.0.30729.6161   Microsoft Corporation       
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161 9.0.30729.6161   Microsoft Corporation       
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219    10.0.40219       Microsoft Corporation       
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219    10.0.40219       Microsoft Corporation       
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030  11.0.61030       Microsoft Corporation       
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030     11.0.61030       Microsoft Corporation       
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030  11.0.61030       Microsoft Corporation       
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030     11.0.61030       Microsoft Corporation       
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005  12.0.21005       Microsoft Corporation       
