,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Abr/26,Mai/26,Jun/26,Jul/26,Ago/26,Set/26,Out/26,Nov/26,Dez/26,Jan/27,Fev/27,Mar/27
1,Investimento,580000,546800,500000,500000,500000,500000,0,0,0,0,0,0
2,Receita,0,129000,387000,1032000,1548000,1935000,2322000,2322000,2322000,2322000,2322000,2322000
3,Custo Estabilidade,500000,500000,500000,500000,500000,500000,0,0,0,0,0,0
4,Custos Var. Venda,0,22575,67725,180600,270900,338625,1270350,1270350,1270350,1270350,1270350,1270350
5,Mkt Trfego,0,40000,40000,50000,70000,90000,100000,100000,100000,100000,100000,100000
6,Mkt Titanium,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
7,Logstica,0,10000,12000,14000,16000,18000,30000,30000,30000,30000,30000,30000
8,Operao Fixo,20000,40000,42000,44000,46000,48000,60000,60000,60000,60000,60000,60000
9,Impostos,0,3225,9675,25800,38700,48375,58050,58050,58050,58050,58050,58050
10,Lucro Mensal,-580000,-546800,-344400,157600,546400,832000,743600,743600,743600,743600,743600,743600
11,Caixa Acum.,0,0,155600,813200,1859600,3191600,3935200,4678800,5422400,6166000,6909600,7653200
